dataset,model,class,hypothesis_id,selection_rule,selected,observation_count,duration_s,support_mean,normal_std_deg,offset_std_m,cx,cy,nx,ny,d,length,latest_state,ever_strong
walls_pillars_3,InGraph,wall_like,43,ever_strong,True,60,24.38091492652893,133.13333333333333,0.6384146123556693,0.08097134428326593,-7.997396026,-12.779651257,0.5726959650058169,0.8197678523009159,15.056833972255843,3.919583321,stale,True
walls_pillars_3,InGraph,pillar_like,44,ever_strong,True,118,29.38190007209778,72.39830508474576,26.667907083072382,199.1402983902875,-5.613007323,-3.955177724,0.7563072213811378,-0.6542166207661975,122.00314876804835,1.0,stale,True
walls_pillars_3,InGraph,wall_like,45,ever_strong,False,1,0.0,153.0,0.0,0.0,3.335647587,-2.66698368,0.8191318250860318,-0.5736053112822672,-4.262459678251641,3.366166115,candidate,False
walls_pillars_3,InGraph,wall_like,46,ever_strong,False,1,0.0,173.0,0.0,0.0,3.048711394,-3.108480408,0.8177094654264984,-0.5756311580794689,-4.282517835140904,3.090481758,candidate,False
walls_pillars_3,InGraph,wall_like,47,ever_strong,False,2,10.580955028533936,128.5,3.64860048164509e-12,0.08397665823983841,-8.79866347,2.71102458,0.8176303768165517,-0.5757434905466354,8.780778527639823,4.915220261,weak_tracked,False
walls_pillars_3,InGraph,wall_like,48,ever_strong,False,1,0.0,101.0,0.0,0.0,2.926833836,-3.390472825,0.8126583952116198,-0.5827403647355096,-4.354319572308355,2.861276627,candidate,False
walls_pillars_3,InGraph,wall_like,49,ever_strong,False,2,8.80196499824524,83.5,0.0,0.1901657507522624,-7.709339168,-13.001720667,0.5730045010639158,0.8195522202767148,15.076669987650742,3.811150551,weak_tracked,False
walls_pillars_3,InGraph,wall_like,50,ever_strong,False,1,0.0,213.0,0.0,0.0,-10.175059162,-11.327967354,0.5993066932134543,0.8005195109861811,15.267039370643474,3.07129097,candidate,False
walls_pillars_3,InGraph,wall_like,51,ever_strong,False,1,0.0,50.0,0.0,0.0,2.275062594,-4.208265836,0.8111146245624179,-0.5848872248741358,-4.306711435429062,1.147094727,candidate,False
walls_pillars_3,InGraph,pillar_like,52,ever_strong,True,145,35.198824882507324,71.51724137931035,13.864630302953314,182.34449456506542,-10.984191788,-0.127005387,0.8398656556621009,0.5427943260934747,393.2173472532245,1.0,stale,True
walls_pillars_3,InGraph,wall_like,53,ever_strong,True,211,65.37873005867004,483.14218009478674,0.4793386178357372,0.22390096669250614,-13.423070499,4.890266353,0.5740582244791594,0.8188144813740381,3.7014144355338003,5.416645527,stale,True
walls_pillars_3,InGraph,wall_like,54,ever_strong,False,3,20.999945163726807,165.33333333333334,0.44096897604998836,0.3099056382462883,-13.139777248,-3.227785589,0.8374983385073655,-0.5464398713467038,9.24102827407679,8.689748764,weak_tracked,False
walls_pillars_3,InGraph,wall_like,55,ever_strong,True,119,31.40384006500244,134.78151260504202,0.7348626219849628,0.18263611808874763,-17.090585037,-6.608577138,0.6001488452328569,0.7998883444366897,15.543530298347259,1.850043774,stale,True
walls_pillars_3,InGraph,pillar_like,56,ever_strong,True,150,36.200820207595825,72.28666666666666,13.593010726646094,466.8519303828551,-13.793325482,1.746204508,0.8237980885708025,0.5668833295018405,261.5632514260639,1.0,stale,True
walls_pillars_3,InGraph,pillar_like,57,ever_strong,False,1,0.0,75.0,0.0,0.0,-13.682278733,1.69029147,0.9769486150490786,-0.2134745969751138,1044.4295684504223,1.105942249,candidate,False
walls_pillars_3,InGraph,wall_like,58,ever_strong,False,1,0.0,58.0,0.0,0.0,-15.116747408,-7.83776105,0.6129119343364772,0.7901512265053557,15.766949668314146,1.791508794,candidate,False
walls_pillars_3,InGraph,wall_like,59,ever_strong,False,4,11.978969812393188,188.25,0.5285480387924417,0.15843335009639076,-11.574688417,4.68267657,0.8155519274384253,-0.5786838978677992,12.151534915041534,2.082036495,weak_tracked,False
walls_pillars_3,InGraph,wall_like,60,ever_strong,True,101,24.800860166549683,186.1881188118812,0.8847170836072032,0.23297439952273066,-20.380315292,-3.458083186,0.6250458037607802,0.7805880752362544,15.439911218636901,2.565503597,stale,True
walls_pillars_3,InGraph,wall_like,61,ever_strong,False,2,4.199984788894653,56.0,6.273696954065089e-13,0.07405575549566236,-23.814029493,-1.649231901,0.5719907894283563,0.8202600421873089,14.975371174512786,2.963729858,weak_tracked,False
walls_pillars_3,InGraph,pillar_like,62,ever_strong,False,3,3.599984884262085,35.0,41.23150732934429,455.1252756460475,-16.307825127,-4.898267203,0.26281850664866496,-0.9648452894443573,-33.896584594473524,1.0,weak_tracked,False
walls_pillars_3,InGraph,pillar_like,63,ever_strong,True,80,21.023865222930908,55.2125,23.863033978245003,487.371571170627,-14.981849664,-5.759033632,0.5542812071321024,0.832329468071496,476.41040321564356,1.0,stale,True
walls_pillars_3,InGraph,wall_like,64,ever_strong,False,2,9.37797498703003,125.0,0.0,0.036724593866613434,-18.150092805,-4.483446407,0.8038739100567057,-0.5947997450656342,11.923636199202514,2.412724972,weak_tracked,False
walls_pillars_3,InGraph,wall_like,65,ever_strong,False,4,3.1919898986816406,91.75,0.4833138679436464,0.23335194677643498,-23.748063088,-1.618627526,0.5740605263881481,0.8188128675362657,14.965919336759125,5.834342957,weak_tracked,False
walls_pillars_3,InGraph,pillar_like,66,ever_strong,False,3,2.5769898891448975,118.0,32.653422978995316,288.6128954403404,-15.568205213,-6.575885397,0.35874670375498685,-0.933434948212746,-68.23890682446738,1.024337053,weak_tracked,False
walls_pillars_3,InGraph,wall_like,67,ever_strong,False,1,0.0,66.0,0.0,0.0,-19.198678374,5.570206942,0.573488696925398,0.8192134730940459,6.454377462341741,4.007978439,candidate,False
walls_pillars_3,InGraph,pillar_like,68,ever_strong,False,1,0.0,113.0,0.0,0.0,-12.194426701,3.964906664,0.5200615485376241,-0.8541287875564483,880.9299948905041,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,69,ever_strong,False,1,0.0,133.0,0.0,0.0,-22.045523062,-2.497807097,0.5738026373710277,0.8189936100764479,14.866643303678256,4.045787811,candidate,False
walls_pillars_3,InGraph,pillar_like,70,ever_strong,False,2,0.8039951324462891,53.0,7.944109290391274e-15,265.79570662758977,-13.346407178,4.814862979,0.9783826490422999,-0.20680278540912314,754.8179979916029,1.0,weak_tracked,False
walls_pillars_3,InGraph,wall_like,71,ever_strong,True,65,22.598865032196045,174.6769230769231,0.6936716434152747,0.23320154145538718,-22.537894274,-2.221310947,0.5074631833353853,0.8616734402075517,13.367715998962634,5.341156483,stale,True
walls_pillars_3,InGraph,wall_like,72,ever_strong,False,1,0.0,62.0,0.0,0.0,-7.412449783,5.374241733,0.8347103455097621,-0.5506892400428517,9.146913645301062,4.599125385,candidate,False
walls_pillars_3,InGraph,wall_like,73,ever_strong,False,1,0.0,52.0,0.0,0.0,-11.025515753,0.003452455,0.8982190910267082,-0.4395480229908379,9.904847834715142,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,74,ever_strong,False,1,0.0,34.0,0.0,0.0,-16.194324477,-4.950437086,0.9663549500298857,0.2572121897436762,973.9037312898809,1.045632124,candidate,False
walls_pillars_3,InGraph,pillar_like,75,ever_strong,False,1,0.0,27.0,0.0,0.0,-16.549026965,7.14289576,0.8943371432829905,0.44739364562364936,487.84484323728384,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,76,ever_strong,False,2,0.21900033950805664,80.0,0.0,812.1219525255367,-18.992537821,5.466235366,0.9987238658818628,0.05050385844652641,1368.5342525916685,1.0,weak_tracked,False
walls_pillars_3,InGraph,wall_like,77,ever_strong,True,122,44.62478494644165,376.38524590163934,0.6413866894826046,0.061701917709623987,-21.78250894,9.279064145,0.8236194507536501,-0.567142839450747,23.203233892113172,3.484341621,stale,True
walls_pillars_3,InGraph,wall_like,78,ever_strong,False,1,0.0,59.0,0.0,0.0,-16.272569075,7.127098951,0.6285457460205084,0.7777726179028949,4.684791436295287,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,79,ever_strong,True,104,37.20280981063843,136.30769230769232,0.30198506674514336,0.0501988142907975,-27.015346762,5.201718484,0.8226292420838913,-0.5685781653110527,25.203352510203555,5.093806744,stale,True
walls_pillars_3,InGraph,wall_like,80,ever_strong,False,1,0.0,59.0,0.0,0.0,-16.360795092,7.158956303,0.5832498101735508,0.8122928406261605,3.7272664232858435,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,81,ever_strong,True,77,18.377870082855225,73.37662337662337,10.763543611307217,414.46329326227016,-16.421859906,9.172174756,0.6286169759926977,0.7777150490338965,136.85912115716027,1.0,stale,True
walls_pillars_3,InGraph,pillar_like,82,ever_strong,False,1,0.0,45.0,0.0,0.0,-21.508175068,9.942341388,0.740299977389267,-0.6722766866978587,3581.3456016341206,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,83,ever_strong,False,2,9.023894786834717,100.0,1.2809491335957507e-14,261.81411060360324,-25.575606508,6.66165704,0.2874324865475219,-0.9578009008541957,1772.7786463819189,1.0,weak_tracked,False
walls_pillars_3,InGraph,pillar_like,84,ever_strong,False,1,0.0,157.0,0.0,0.0,-16.193573745,7.316623739,0.9507562022362676,-0.3099397423843372,433.7960927270593,1.0,candidate,False
walls_pillars_3,InGraph,pipe_like,85,ever_strong,False,2,9.002969741821289,13.0,0.0,977.7268350514644,-17.128564788,7.459440291,0.011062977670945792,0.9999388033900136,-427.1982957169841,1.0,weak_tracked,False
walls_pillars_3,InGraph,pipe_like,86,ever_strong,False,1,0.0,10.0,0.0,0.0,-20.603008358,11.08163167,0.20254676825294246,-0.9792725905846077,73.48254323141958,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,87,ever_strong,False,1,0.0,172.0,0.0,0.0,-14.932470512,8.514848481,0.5334307154340859,-0.8458437632515116,292.7929076644189,1.12519455,candidate,False
walls_pillars_3,InGraph,wall_like,88,ever_strong,True,88,22.394925117492676,345.0,0.27812790843266705,0.10870741307569211,-18.976101074,12.665086829,0.5614820201439285,0.8274889371194597,0.1745355615351035,5.37111187,stale,True
walls_pillars_3,InGraph,wall_like,89,ever_strong,True,101,26.00391983985901,138.7128712871287,0.33994685901407906,0.0350097691298629,-21.432613231,13.206356207,0.8184137102187004,-0.5746294448825792,25.138212750293885,2.861061096,stale,True
walls_pillars_3,InGraph,pillar_like,90,ever_strong,False,2,0.1979999542236328,75.0,0.0,39.298833729203444,-22.830496235,8.08523144,0.2959851343321557,0.955192546167722,-19.050695118417647,1.0,weak_tracked,False
walls_pillars_3,InGraph,wall_like,91,ever_strong,False,1,0.0,50.0,0.0,0.0,-14.48605433,9.636547548,0.6097395310050121,0.7926018573847705,1.1948070358815706,1.0,candidate,False
walls_pillars_3,InGraph,pillar_like,92,ever_strong,False,1,0.0,103.0,0.0,0.0,-17.310980991,12.095073761,0.9326489266227053,0.36078522651227773,1296.191151162644,1.0,candidate,False
walls_pillars_3,InGraph,pipe_like,93,ever_strong,False,1,0.0,10.0,0.0,0.0,-16.316882697,9.066196695,0.8082720171870637,-0.588809261333715,340.6205967622674,1.0,candidate,False
walls_pillars_3,InGraph,wall_like,94,ever_strong,False,4,8.19898009300232,133.75,1.038241776109138,0.6894684310860142,-23.527636366,-1.840893628,0.5744934718229812,0.8185091635606638,15.031204775272426,3.565019608,weak_tracked,False
