evaluation_scope,dataset,model,structure_class,annotation_id,annotation_class,nearest_predictions,aligned_predictions,best_prediction_id,best_match_cost,best_angle_error_deg,best_offset_error_m,best_segment_gap_m,best_overlap_ratio,best_xy_error_m,source_file,source_dataset
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_02,wall,5,2,y:57,1.040538,4.975237,0.167453,0.000000,0.996232,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_03,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_04,wall,2,1,y:33,0.262096,1.940782,0.007799,0.000000,1.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_05,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_06,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_07,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_08,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_09,wall,1,0,x:38,2.829156,7.439450,0.759690,0.000000,1.000000,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_10,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_11,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_12,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_13,wall,2,1,y:40,0.306823,1.592461,0.043106,0.000000,0.999614,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,wall,wall_14,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_01,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_02,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_03,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_04,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_05,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_06,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_07,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_08,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_09,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_10,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_11,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_12,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_13,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_14,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,walls_pillars_3,S-Graphs,pillar,pillar_15,pillar,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/walls_pillars_3_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,walls_pillars_3
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_01,wall,3,3,24,0.051498,0.318039,0.004697,0.000000,0.991745,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
walllike_boundary,teste_percepcion_5_0,InGraph,wall,wall_02,wall,0,0,,,,,,,,/home/jhon/comparation_ra-l/lidar_situational_graphs/ral_step7a/comparisons/teste_percepcion_5_0_ingraph_vs_sgraphs/data/physical_annotation_fragmentation_by_structure.csv,teste_percepcion_5_0
